"country_period","dsl_p","dsl_se","dsl_ci_lo","dsl_ci_hi","dsl_dyadSE","dsl_Wexcl_p","gold_only_p","gold_only_se","SE_reduction_vs_goldonly"
"DE|2000-2008",0.1146,0.0329,0.0502,0.179,0.0329,0.1141,0.1143,0.0304,-0.082
"DE|2009-2017",0.0842,0.0267,0.0319,0.1365,0.0267,0.0842,0.0842,0.0258,-0.035
"DE|2018-2025",0.0429,0.0106,0.022,0.0637,0.0106,0.043,0.043,0.0099,-0.071
"JP|2000-2008",0.2791,0.0487,0.1837,0.3745,0.0487,0.2722,0.2785,0.0402,-0.211
"JP|2009-2017",0.0646,0.0232,0.0191,0.11,0.0232,0.0615,0.0643,0.0209,-0.11
"JP|2018-2025",0.047,0.0158,0.0161,0.0779,0.0158,0.0464,0.0472,0.0146,-0.082
"KR|2000-2008",0.3937,0.0711,0.2542,0.5331,0.0711,0.3771,0.3932,0.0372,-0.911
"KR|2009-2017",0.123,0.0275,0.0691,0.1769,0.0275,0.1203,0.1231,0.0248,-0.109
"KR|2018-2025",0.0673,0.0162,0.0355,0.0991,0.0162,0.0676,0.0673,0.0151,-0.073
"US|2000-2008",0.0738,0.0215,0.0316,0.116,0.0215,0.0729,0.0739,0.0209,-0.029
"US|2009-2017",0.0338,0.0082,0.0177,0.0499,0.0082,0.0337,0.0338,0.0076,-0.079
"US|2018-2025",0.03,0.0069,0.0165,0.0434,0.0069,0.03,0.0299,0.0065,-0.062
